OID	rank	time	OID_from
3281	No	#	#
3282	No	#	#
3283	No	#	#
3284	No	#	#
3285	No	#	#
3286	2	79	1502
3287	No	#	#
3288	No	#	#
3289	2	94	169
3290	2	36	616
3291	4	99	669
3292	9	79	1239
3293	7	85	559
3294	No	#	#
3295	4	49	809
3296	7	85	113
3297	3	47	687
3298	No	#	#
3299	3	45	803
3300	4	92	455
3301	No	#	#
3302	No	#	#
3303	No	#	#
3304	No	#	#
3305	No	#	#
3306	No	#	#
3307	No	#	#
3308	3	99	1479
3309	5	100	388
3310	2	69	116
3311	No	#	#
3312	No	#	#
3313	No	#	#
3314	No	#	#
3315	No	#	#
3316	No	#	#
3317	No	#	#
3318	No	#	#
3319	No	#	#
3320	2	61	423
3321	No	#	#
3322	No	#	#
3323	No	#	#
3324	No	#	#
3325	No	#	#
3326	No	#	#
3327	No	#	#
3328	No	#	#
3329	No	#	#
3330	6	81	1048
3331	No	#	#
3332	7	92	1325
3333	No	#	#
3334	No	#	#
3335	3	74	647
3336	5	86	1057
3337	6	82	1398
3338	1	89	720
3339	No	#	#
3340	No	#	#
3341	7	75	785
3342	No	#	#
3343	No	#	#
3344	No	#	#
3345	No	#	#
3346	No	#	#
3347	No	#	#
3348	No	#	#
3349	No	#	#
3350	No	#	#
3351	No	#	#
3352	No	#	#
3353	No	#	#
3354	No	#	#
3355	No	#	#
3356	No	#	#
3357	No	#	#
3358	No	#	#
3359	No	#	#
3360	No	#	#
3361	No	#	#
3362	No	#	#
3363	No	#	#
3364	No	#	#
3365	No	#	#
3366	No	#	#
3367	2	82	167
3368	No	#	#
3369	No	#	#
3370	No	#	#
3371	No	#	#
3372	No	#	#
3373	No	#	#
3374	No	#	#
3375	No	#	#
3376	No	#	#
3377	No	#	#
3378	No	#	#
3379	No	#	#
3380	No	#	#
3381	4	97	1203
3382	2	74	228
3383	2	74	228
3384	2	74	228
3385	2	74	228
3386	2	74	228
3387	2	74	228
3388	5	89	610
3389	2	96	169
3390	No	#	#
3391	2	100	169
3392	No	#	#
3393	No	#	#
3394	No	#	#
3395	3	63	68
3396	4	76	1390
3397	No	#	#
3398	4	76	1390
3399	5	99	1395
3400	4	76	1390
3401	4	76	1390
3402	4	95	668
3403	5	81	1400
3404	6	81	1401
3405	4	81	1059
3406	5	81	1400
3407	4	95	668
3408	4	95	668
3409	5	57	1031
3410	2	70	563
3411	6	97	1404
3412	2	70	563
3413	2	70	563
3414	2	70	563
3415	2	70	563
3416	No	#	#
3417	No	#	#
3418	No	#	#
3419	No	#	#
3420	No	#	#
3421	No	#	#
3422	No	#	#
3423	3	88	1476
3424	4	71	591
3425	3	88	1476
3426	3	88	1476
3427	4	71	591
3428	3	88	1476
3429	3	88	1476
3430	No	#	#
3431	No	#	#
3432	No	#	#
3433	No	#	#
3434	No	#	#
3435	No	#	#
3436	No	#	#
3437	No	#	#
3438	No	#	#
3439	No	#	#
3440	No	#	#
3441	No	#	#
3442	No	#	#
3443	No	#	#
3444	3	81	1147
3445	3	80	1147
3446	No	#	#
3447	No	#	#
3448	No	#	#
3449	No	#	#
3450	No	#	#
3451	No	#	#
3452	No	#	#
3453	No	#	#
3454	No	#	#
3455	No	#	#
3456	No	#	#
3457	No	#	#
3458	No	#	#
3459	No	#	#
3460	No	#	#
3461	1	97	720
3462	3	98	667
3463	No	#	#
3464	No	#	#
3465	No	#	#
3466	No	#	#
3467	No	#	#
3468	No	#	#
3469	No	#	#
3470	No	#	#
3471	No	#	#
3472	No	#	#
3473	No	#	#
3474	7	95	1062
3475	No	#	#
3476	7	79	663
3477	No	#	#
3478	No	#	#
3479	1	73	121
3480	3	100	371
3481	2	71	1130
3482	No	#	#
3483	No	#	#
3484	2	84	116
3485	3	45	687
3486	5	81	1400
3487	No	#	#
3488	No	#	#
3489	No	#	#
3490	No	#	#
3491	3	88	687
3492	3	92	773
3493	3	94	797
3494	No	#	#
3495	No	#	#
3496	No	#	#
3497	5	93	729
3498	No	#	#
3499	3	96	1147
3500	No	#	#
3501	3	70	1315
3502	3	95	1146
3503	2	90	423
3504	No	#	#
3505	2	90	423
3506	No	#	#
3507	1	56	436
3508	No	#	#
3509	No	#	#
3510	3	89	1220
3511	No	#	#
3512	No	#	#
3513	No	#	#
3514	2	17	1204
3515	2	17	1204
3516	2	17	1204
3517	2	17	1204
3518	3	45	1509
3519	No	#	#
3520	6	95	42
3521	No	#	#
3522	No	#	#
3523	No	#	#
3524	5	100	57
3525	No	#	#
3526	No	#	#
3527	No	#	#
3528	No	#	#
3529	No	#	#
3530	No	#	#
3531	No	#	#
3532	No	#	#
3533	5	93	57
3534	No	#	#
3535	No	#	#
3536	1	66	436
3537	No	#	#
3538	5	94	996
3539	No	#	#
3540	No	#	#
3541	5	87	761
3542	No	#	#
3543	5	95	763
3544	No	#	#
3545	6	96	1137
3546	No	#	#
3547	No	#	#
3548	No	#	#
3549	3	82	590
3550	2	78	116
3551	No	#	#
3552	2	78	116
3553	2	78	116
3554	3	88	151
3555	No	#	#
3556	1	93	720
3557	3	97	1040
3558	No	#	#
3559	No	#	#
3560	No	#	#
3561	2	69	423
3562	No	#	#
3563	No	#	#
3564	No	#	#
3565	3	98	118
3566	2	82	116
3567	4	91	1330
3568	No	#	#
3569	No	#	#
3570	No	#	#
3571	4	80	386
3572	2	61	423
3573	No	#	#
3574	4	90	386
3575	No	#	#
3576	No	#	#
3577	No	#	#
3578	No	#	#
3579	No	#	#
3580	No	#	#
3581	No	#	#
3582	No	#	#
3583	4	88	1101
3584	No	#	#
3585	No	#	#
3586	3	56	570
3587	No	#	#
3588	No	#	#
3589	3	54	349
3590	3	96	590
3591	4	75	1187
3592	3	63	124
3593	3	63	124
3594	3	63	124
3595	3	63	124
3596	3	63	124
3597	3	63	124
3598	No	#	#
3599	No	#	#
3600	No	#	#
3601	No	#	#
3602	No	#	#
3603	No	#	#
3604	1	83	121
3605	No	#	#
3606	No	#	#
3607	No	#	#
3608	3	25	1509
3609	3	26	1509
3610	1	16	869
3611	2	90	1198
3612	No	#	#
3613	No	#	#
3614	No	#	#
3615	No	#	#
3616	5	91	891
3617	No	#	#
3618	No	#	#
3619	7	61	532
3620	3	83	590
3621	3	84	390
3622	No	#	#
3623	No	#	#
3624	No	#	#
3625	No	#	#
3626	2	30	1204
3627	7	66	1215
3628	No	#	#
3629	4	100	581
3630	No	#	#
3631	No	#	#
3632	No	#	#
3633	No	#	#
3634	No	#	#
3635	No	#	#
3636	No	#	#
3637	No	#	#
3638	No	#	#
3639	No	#	#
3640	No	#	#
3641	3	75	565
3642	2	96	169
3643	2	96	169
3644	8	89	1303
3645	2	96	169
3646	No	#	#
3647	No	#	#
3648	No	#	#
3649	No	#	#
3650	No	#	#
3651	2	99	322
3652	6	98	273
3653	No	#	#
3654	No	#	#
3655	No	#	#
3656	3	89	1220
3657	1	84	720
3658	No	#	#
3659	No	#	#
3660	No	#	#
3661	No	#	#
3662	No	#	#
3663	7	93	1332
3664	No	#	#
3665	No	#	#
3666	No	#	#
3667	No	#	#
3668	No	#	#
3669	No	#	#
3670	5	97	41
3671	No	#	#
3672	No	#	#
3673	No	#	#
3674	No	#	#
3675	No	#	#
3676	No	#	#
3677	2	97	1204
3678	No	#	#
3679	No	#	#
3680	No	#	#
3681	No	#	#
3682	No	#	#
3683	No	#	#
3684	No	#	#
3685	No	#	#
3686	No	#	#
3687	2	79	1502
3688	No	#	#
3689	No	#	#
3690	2	94	169
